Prompt,Matched_GT,BLEU,BERT,Human,Model
"the shacl shape :laengeauftragsnummerlieferantkopf applies to all instances of the class edifact-o:invoicedetails, enforcing a constraint on the required property edifact-o:ordernumbersupplier to have a string value with a maximum length of 35 characters, and returning the message ""the order number of the supplier, rff+vn, in the header is too long"" if the constraint is violated.","the shacl shape :laengeauftragsnummerlieferantkopf targets all instances of the class edifact-o:invoicedetails, enforcing a constraint on the property edifact-o:ordernumbersupplier, which must be a single string value with a maximum length of 35 characters, and will produce the validation message ""the order number of the supplier, rff+vn, in the header is too long"" if this constraint is violated.",0.18056453576307607,0.8807483911514282,0,groq70b
"the shacl shape :existenzdatumauftragsnummerlieferantkopf applies to all instances of the class edifact-o:invoicedetails and requires a single string value (xsd:string) for the property edifact-o:dateordernumbersupplier, with a validation error message ""the date of the supplier's order number, rff+vn, is missing from the header"" if the property is missing or has multiple values.","the shacl shape :existenzdatumauftragsnummerlieferantkopf applies to all instances of the class edifact-o:invoicedetails, mandating a single string value (xsd:string) for the property edifact-o:dateordernumbersupplier, with a validation error message ""the date of the supplier's order number, rff+vn, is missing from the header"" if this property is either missing or appears more than once.",0.5043379453045491,0.9381908178329468,0,groq70b
"the shacl shape :laengedatumauftragsnummerkaeuferkopf applies to all instances of the class edifact-o:invoicedetails, requiring the property edifact-o:dateordernumberbuyer to have exactly one string value (xsd:string) with a maximum length of 8 characters; if this constraint is violated, the validation will produce the message: ""the date of the supplier's order number, rff+on, in the header is too long.""","the shacl shape :laengedatumauftragsnummerkaeuferartikel targets all instances of the class edifact-o:item, enforcing a constraint on the property edifact-o:dateordernumberbuyer, which must be a single string value (xsd:string) with a maximum length of 8 characters; if this constraint is violated, the validation will produce the message: ""the date of the supplier's order number, rff+on, in the item part is too long.""",0.32994203591452625,0.9324941039085388,0,groq70b
"the shacl shape :umsatzsteuernummerkaeufer applies to all instances of the class org:formalorganization, specifying that if an organization has the rdf type ""http://example.com/buyerrole"", then it must have a single p2p-o-org:vatidentifier property with a string value of up to 14 characters; otherwise, validation will fail with the message ""the segment rff+va is missing for the segment nad+by, i.e. the buyer's vat number is missing"".","the shacl shape :umsatzsteuernummerkaeufer applies to all instances of the class org:formalorganization, requiring that if they have the rdf type ""http://example.com/buyerrole"", then they must have exactly one p2p-o-org:vatidentifier property with a string value of maximum 14 characters; otherwise, validation will fail with the message ""the segment rff+va is missing for the segment nad+by, i.e. the buyer's vat number is missing"".",0.33791193304101846,0.9209320545196533,0,groq70b
"the shacl shape :glnkaeufer applies to all instances of the class org:formalorganization, specifying that if an organization is of type ""http://example.com/buyerrole, then it must have exactly one property p2p-o-org:globallocationnumber with an integer value of exactly 13 characters in length; otherwise, the validation will fail with the message ""data element 3039 is missing for the segment nad+by, i.e. specification of the gln of the buyer.""","the shacl shape :glnkaeufer applies to all instances of the class org:formalorganization, specifying that either the organization is not of type ""http://example.com/buyerrole"" or, if it is, it must have exactly one p2p-o-org:globallocationnumber property with an integer value of exactly 13 characters in length; otherwise, validation will fail with the message ""data element 3039 is missing for the segment nad+by, i.e. specification of the gln of the buyer.""",0.18275201277713807,0.8932430744171143,0,groq70b
"the shacl shape :strassekaeufer applies to all instances of the class org:formalorganization, requiring that either the organization is not a buyer (http://example.com/buyerrole) or, if it is a buyer, then it must have exactly one vcard:hasstreetaddress property with a string value not exceeding 35 characters, otherwise the validation will fail with the message: ""the data element 3042 is missing for the segment nad+by, i.e. the buyer's street address.""","the shacl shape :strassekaeufer applies to all instances of the class org:formalorganization, specifying that either the organization must not be of type ""http://example.com/buyerrole"", or if it is, then it must have exactly one vcard:hasstreetaddress property with a string value no longer than 35 characters; if these conditions are not met, validation will fail with the message ""the data element 3042 is missing for the segemnet nad+by, i.e. the buyer's street address.""",0.21531332996816563,0.8949904441833496,0,groq70b
"the shacl shape :plzkaeufer applies to all instances of the class org:formalorganization, specifying that if an organization has the rdf type ""http://example.com/buyerrole"", then it must have exactly one vcard:postalcode property with a string value no longer than 9 characters; otherwise, validation will fail with the message ""the data element 3251 is missing for the segment nad+by, i.e. specification of the buyer's postal code.""","the shacl shape :plzkaeufer applies to all instances of the class org:formalorganization, specifying that either the organization does not have the rdf type ""http://example.com/buyerrole"" or, if it does, then it must have exactly one vcard:postalcode property with a string value of up to 9 characters; otherwise, validation will fail with the message ""the data element 3251 is missing for the segment nad+by, i.e. specification of the buyer's postal code"".",0.22590668934741293,0.9200542569160461,0,groq70b
"the shacl shape :glnlieferant applies to all instances of the class org:formalorganization, requiring that either the organization is not a supplier (i.e., it does not have the rdf type ""http://example.com/supplierrole""), or, if it is a supplier, then it must have exactly one property p2p-o-org:globallocationnumber with an integer value of exactly 13 characters; if neither condition is met, the validation will fail with the message ""the data element 3039 is missing for the segment nad+su, i.e. specification of the gln of the supplier"".","the shacl shape :glnlieferant applies to all instances of the class org:formalorganization, requiring that either the organization does not have the rdf type ""http://example.com/supplierrole"" or, if it does, the property p2p-o-org:globallocationnumber must be present exactly once with an integer value of exactly 13 characters in length; otherwise, the validation will fail with the message ""the data element 3039 is missing for the segment nad+su, i.e. specification of the gln of the supplier.""",0.4197091915206815,0.9265972971916199,0,groq70b
"the shacl shape :stadtlieferant applies to all instances of the class org:formalorganization and specifies that if an organization has the rdf type ""http://example.com/supplierrole"", then the property edifact-o:hascity must be present exactly once with a value that is a string with a maximum length of 35 characters; otherwise, the validation will fail with the message ""the data element 3164 is missing for the segment nad+su, i.e. specification of the city of the supplier.""","the shacl shape :stadtlieferant applies to all instances of the class org:formalorganization and specifies a validation rule with an sh:or condition: either the organization must not have the rdf type ""http://example.com/supplierrole"", or, if it does, the property edifact-o:hascity must be present exactly once with a string value no longer than 35 characters; otherwise, the validation will fail with the message ""the data element 3164 is missing for the segment nad+su, i.e. specification of the city of the supplier"".",0.2807805121390138,0.9062530994415283,0,groq70b
"the shacl shape :strasselieferant applies to all instances of the class org:formalorganization, specifying that if they have the rdf type ""http://example.com/supplierrole"", then the property vcard:hasstreetaddress must be present exactly once with a string value no longer than 35 characters; otherwise, the validation will fail with the message ""the data element 3042 is missing for the segment nad+su, i.e. specification of the supplier's street"".","the shacl shape :strasselieferant applies to all instances of the class org:formalorganization, specifying that if an organization has the rdf type ""http://example.com/supplierrole"", then it must have exactly one vcard:hasstreetaddress property with a string value no longer than 35 characters; otherwise, the validation will fail with the message ""the data element 3042 is missing for the segment nad+su, i.e. specification of the supplier's street"".",0.19167103801288723,0.8885255455970764,0,groq70b
