Prompt,Matched_GT,BLEU,BERT,Human,Model
"the shacl shape :laengeauftragsnummerlieferantkopf applies to all instances of the class edifact-o:invoicedetails, enforcing a constraint on the required property edifact-o:ordernumbersupplier to have a string value with a maximum length of 35 characters, and returning the message ""the order number of the supplier, rff+vn, in the header is too long"" if the constraint is violated.","the shacl shape :laengeauftragsnummerlieferantkopf targets all instances of the class edifact-o:invoicedetails, enforcing a constraint on the property edifact-o:ordernumbersupplier, which must be a single string value with a maximum length of 35 characters, and will produce the validation message ""the order number of the supplier, rff+vn, in the header is too long"" if this constraint is violated.",0.10014889488992668,0.9096200466156006,0,qwen7b
"the shacl shape :existenzdatumauftragsnummerlieferantkopf applies to all instances of the class edifact-o:invoicedetails and requires a single string value (xsd:string) for the property edifact-o:dateordernumbersupplier, with a validation error message ""the date of the supplier's order number, rff+vn, is missing from the header"" if the property is missing or has multiple values.","the shacl shape :existenzdatumauftragsnummerlieferantkopf applies to all instances of the class edifact-o:invoicedetails, mandating a single string value (xsd:string) for the property edifact-o:dateordernumbersupplier, with a validation error message ""the date of the supplier's order number, rff+vn, is missing from the header"" if this property is either missing or appears more than once.",0.11580454951580771,0.9026151299476624,0,qwen7b
"the shacl shape :laengedatumauftragsnummerkaeuferkopf applies to all instances of the class edifact-o:invoicedetails, requiring the property edifact-o:dateordernumberbuyer to have exactly one string value (xsd:string) with a maximum length of 8 characters; if this constraint is violated, the validation will produce the message: ""the date of the supplier's order number, rff+on, in the header is too long.""","the shacl shape :laengedatumauftragsnummerkaeuferartikel targets all instances of the class edifact-o:item, enforcing a constraint on the property edifact-o:dateordernumberbuyer, which must be a single string value (xsd:string) with a maximum length of 8 characters; if this constraint is violated, the validation will produce the message: ""the date of the supplier's order number, rff+on, in the item part is too long.""",0.17583601217463615,0.89658522605896,0,qwen7b
"the shacl shape :umsatzsteuernummerkaeufer applies to all instances of the class org:formalorganization, specifying that if an organization has the rdf type ""http://example.com/buyerrole"", then it must have a single p2p-o-org:vatidentifier property with a string value of up to 14 characters; otherwise, validation will fail with the message ""the segment rff+va is missing for the segment nad+by, i.e. the buyer's vat number is missing"".","the shacl shape :umsatzsteuernummerkaeufer applies to all instances of the class org:formalorganization, requiring that if they have the rdf type ""http://example.com/buyerrole"", then they must have exactly one p2p-o-org:vatidentifier property with a string value of maximum 14 characters; otherwise, validation will fail with the message ""the segment rff+va is missing for the segment nad+by, i.e. the buyer's vat number is missing"".",0.28935243565371216,0.9081485271453857,0,qwen7b
"the shacl shape :glnkaeufer applies to all instances of the class org:formalorganization, specifying that if an organization is of type ""http://example.com/buyerrole, then it must have exactly one property p2p-o-org:globallocationnumber with an integer value of exactly 13 characters in length; otherwise, the validation will fail with the message ""data element 3039 is missing for the segment nad+by, i.e. specification of the gln of the buyer.""","the shacl shape :glnkaeufer applies to all instances of the class org:formalorganization, specifying that either the organization is not of type ""http://example.com/buyerrole"" or, if it is, it must have exactly one p2p-o-org:globallocationnumber property with an integer value of exactly 13 characters in length; otherwise, validation will fail with the message ""data element 3039 is missing for the segment nad+by, i.e. specification of the gln of the buyer.""",0.1646717571924687,0.9002692103385925,0,qwen7b
"the shacl shape :strassekaeufer applies to all instances of the class org:formalorganization, requiring that either the organization is not a buyer (http://example.com/buyerrole) or, if it is a buyer, then it must have exactly one vcard:hasstreetaddress property with a string value not exceeding 35 characters, otherwise the validation will fail with the message: ""the data element 3042 is missing for the segment nad+by, i.e. the buyer's street address.""","the shacl shape :strassekaeufer applies to all instances of the class org:formalorganization, specifying that either the organization must not be of type ""http://example.com/buyerrole"", or if it is, then it must have exactly one vcard:hasstreetaddress property with a string value no longer than 35 characters; if these conditions are not met, validation will fail with the message ""the data element 3042 is missing for the segemnet nad+by, i.e. the buyer's street address.""",0.08287173929492503,0.8965147733688354,0,qwen7b
"the shacl shape :plzkaeufer applies to all instances of the class org:formalorganization, specifying that if an organization has the rdf type ""http://example.com/buyerrole"", then it must have exactly one vcard:postalcode property with a string value no longer than 9 characters; otherwise, validation will fail with the message ""the data element 3251 is missing for the segment nad+by, i.e. specification of the buyer's postal code.""","the shacl shape :plzkaeufer applies to all instances of the class org:formalorganization, specifying that either the organization does not have the rdf type ""http://example.com/buyerrole"" or, if it does, then it must have exactly one vcard:postalcode property with a string value of up to 9 characters; otherwise, validation will fail with the message ""the data element 3251 is missing for the segment nad+by, i.e. specification of the buyer's postal code"".",0.2265301240478268,0.8936712145805359,0,qwen7b
"the shacl shape :glnlieferant applies to all instances of the class org:formalorganization, requiring that either the organization is not a supplier (i.e., it does not have the rdf type ""http://example.com/supplierrole""), or, if it is a supplier, then it must have exactly one property p2p-o-org:globallocationnumber with an integer value of exactly 13 characters; if neither condition is met, the validation will fail with the message ""the data element 3039 is missing for the segment nad+su, i.e. specification of the gln of the supplier"".","the shacl shape :glnlieferant applies to all instances of the class org:formalorganization, requiring that either the organization does not have the rdf type ""http://example.com/supplierrole"" or, if it does, the property p2p-o-org:globallocationnumber must be present exactly once with an integer value of exactly 13 characters in length; otherwise, the validation will fail with the message ""the data element 3039 is missing for the segment nad+su, i.e. specification of the gln of the supplier.""",0.11649041785783926,0.8935601711273193,0,qwen7b
"the shacl shape :stadtlieferant applies to all instances of the class org:formalorganization and specifies that if an organization has the rdf type ""http://example.com/supplierrole"", then the property edifact-o:hascity must be present exactly once with a value that is a string with a maximum length of 35 characters; otherwise, the validation will fail with the message ""the data element 3164 is missing for the segment nad+su, i.e. specification of the city of the supplier.""","the shacl shape :stadtlieferant applies to all instances of the class org:formalorganization and specifies a validation rule with an sh:or condition: either the organization must not have the rdf type ""http://example.com/supplierrole"", or, if it does, the property edifact-o:hascity must be present exactly once with a string value no longer than 35 characters; otherwise, the validation will fail with the message ""the data element 3164 is missing for the segment nad+su, i.e. specification of the city of the supplier"".",0.19895226720368678,0.8939923644065857,0,qwen7b
"the shacl shape :strasselieferant applies to all instances of the class org:formalorganization, specifying that if they have the rdf type ""http://example.com/supplierrole"", then the property vcard:hasstreetaddress must be present exactly once with a string value no longer than 35 characters; otherwise, the validation will fail with the message ""the data element 3042 is missing for the segment nad+su, i.e. specification of the supplier's street"".","the shacl shape :strasselieferant applies to all instances of the class org:formalorganization, specifying that if an organization has the rdf type ""http://example.com/supplierrole"", then it must have exactly one vcard:hasstreetaddress property with a string value no longer than 35 characters; otherwise, the validation will fail with the message ""the data element 3042 is missing for the segment nad+su, i.e. specification of the supplier's street"".",0.20671651953350734,0.9151176810264587,0,qwen7b
"the shacl shape :umsatzsteuernummerrechnungsempfaenger applies to all instances of the class org:formalorganization, specifying that an organization must either not have the rdf type ""http://example.com/invoiceerole"" or, if it does, must have exactly one p2p-o-org:vatidentifier property with a string value of up to 14 characters; otherwise, validation will fail with the message ""the segment rff+va is missing for the segment nad+iv, i.e. the vat number of the invoice recipient is missing.""","the shacl shape :umsatzsteuernummerrechnungsempfaenger applies to all instances of the class org:formalorganization, specifying that an organization is either not an invoice recipient (lacking rdf:type ""http://example.com/invoiceerole"") or, if it is, must have exactly one p2p-o-org:vatidentifier property with a string value no longer than 14 characters; failing this validation will result in the error message ""the segment rff+va is missing for the segment nad+iv, i.e. the vat number of the invoice recipient is missing.""",0.12149507024197788,0.9016669988632202,0,qwen7b
"the shacl shape :glnrechnungsempfaenger applies to all instances of the class org:formalorganization, requiring either the absence of rdf:type ""http://example.com/invoiceerole"" or, if present, a single occurrence (exactly one) of the property p2p-o-org:globallocationnumber with an integer value of exactly 13 characters in length; otherwise, validation will fail with the message ""the data element 3039 is missing for the segment nad+iv, i.e. specification of the gln of the invoice recipient"".","the shacl shape :glnrechnungsempfaenger applies to all instances of the class org:formalorganization, requiring that either the organization is not of type ""http://example.com/invoiceerole"" or, if it is, it must have exactly one p2p-o-org:globallocationnumber property with an integer value of exactly 13 characters in length, otherwise, validation will fail with the message ""the data element 3039 is missing for the segment nad+iv, i.e. specification of the gln of the invoice recipient"".",0.11526396444732487,0.8908715844154358,0,qwen7b
"the shacl shape :stadtrechnungsempfaenger applies to all instances of the class org:formalorganization, requiring that either they do not have the rdf type ""http://example.com/invoiceerole"" or, if they do, they must have a single string property edifact-o:hascity with a maximum length of 35 characters; otherwise, the validation will fail with the message ""the data element 3164 is missing for the segment nad+iv, i.e. specification of the city of the invoice recipient"".","the shacl shape :stadtlieferanschrift applies to all instances of the class org:formalorganization, requiring that either they do not have the rdf type ""http://example.com/deliverypartyrole"" or, if they do, they must have exactly one string value for the property edifact-o:hascity with a maximum length of 35 characters; if these conditions are not met, the validation will fail with the message ""the data element 3164 is missing for the segment nad+dp, i.e. specification of the city of the delivery address"".",0.2033873008956779,0.9134927988052368,0,qwen7b
"here is an improved version of the natural language sentence:

the shacl shape :umsatzsteuernummerlieferanschrift applies to all instances of the class org:formalorganization, specifying that either the organization must not be of rdf type ""http://example.com/deliverypartyrole"", or it must have exactly one p2p-o-org:vatidentifier property with a string value of maximum 14 characters; if neither condition is met, validation fails with the message ""the segment rff+va is missing for the segment nad+dp, i.e. the vat number of the delivery address is missing.""","the shacl shape :umsatzsteuernummerlieferanschrift applies to all instances of the class org:formalorganization, specifying that either the organization must not have the rdf type ""http://example.com/deliverypartyrole"" or, if it does, it must have exactly one p2p-o-org:vatidentifier property with a string value of maximum 14 characters in length; if neither condition is met, validation will fail with the message ""the segment rff+va is missing for the segment nad+dp, i.e. the vat number of the delivery address is missing.""",0.18933386600711216,0.8967060446739197,0,qwen7b
"the shacl shape :formalnamelieferanschrift applies to all instances of the class org:formalorganization, requiring that either they do not have the rdf type ""http://example.com/deliverypartyrole"" or, if they do, they must have exactly one string value for the property p2p-o-org:formalname with a maximum length of 35 characters; otherwise, the validation will fail with the message: ""the data element 3036 is missing for the segment nad+dp, i.e. specification of the formal name of the delivery address"".","the shacl shape :stadtlieferanschrift applies to all instances of the class org:formalorganization, requiring that either they do not have the rdf type ""http://example.com/deliverypartyrole"" or, if they do, they must have exactly one string value for the property edifact-o:hascity with a maximum length of 35 characters; if these conditions are not met, the validation will fail with the message ""the data element 3164 is missing for the segment nad+dp, i.e. specification of the city of the delivery address"".",0.17587823673850753,0.8910555839538574,0,qwen7b
"the shacl shape :glnlieferanschrift applies to all instances of the class org:formalorganization, specifying that either the organization must not have the rdf type ""http://example.com/deliverypartyrole"" or, if it does, it must have exactly one property p2p-o-org:globallocationnumber with an integer value of exactly 13 digits, failing validation with the message ""the data element 3039 is missing for the segment nad+dp, i.e. specification of the gln of the delivery address"" if these conditions are not met.","the shacl shape :glnlieferanschrift applies to all instances of the class org:formalorganization, specifying that an organization must either not have the rdf type ""http://example.com/deliverypartyrole"" or, if it does, must have exactly one property p2p-o-org:globallocationnumber with an integer value of exactly 13 characters, otherwise, the validation will fail with the message ""the data element 3039 is missing for the segment nad+dp, i.e. specification of the gln of the delivery address"".",0.10648975033087761,0.882071852684021,0,qwen7b
"the shacl shape :stadtlieferanschrift applies to all instances of org:formalorganization, specifying that an instance either does not have the rdf type ""http://example.com/deliverypartyrole"" or, if it does, it must have a single string-valued property edifact-o:hascity with a maximum length of 35 characters; if these conditions are not met, the validation will fail with the message ""the data element 3164 is missing for the segment nad+dp, i.e. specification of the city of the delivery address.""","the shacl shape :stadtlieferanschrift applies to all instances of the class org:formalorganization, requiring that either they do not have the rdf type ""http://example.com/deliverypartyrole"" or, if they do, they must have exactly one string value for the property edifact-o:hascity with a maximum length of 35 characters; if these conditions are not met, the validation will fail with the message ""the data element 3164 is missing for the segment nad+dp, i.e. specification of the city of the delivery address"".",0.18360953427096108,0.9209896326065063,0,qwen7b
"the shacl shape :strasselieferanschrift applies to all instances of the class org:formalorganization, specifying that an instance must either not have the rdf type ""http://example.com/deliverypartyrole"" or, if it does, it must have exactly one string value for the property vcard:hasstreetaddress with a length of up to 35 characters; if these conditions are not fulfilled, the validation will fail with the message ""the data element 3042 is missing for the segment nad+dp, i.e. specification of the street of the delivery address"".","the shacl shape :strasselieferanschrift applies to all instances of the class org:formalorganization, specifying that an organization either does not have the rdf type ""http://example.com/deliverypartyrole"" or must have exactly one vcard:hasstreetaddress property with a string value of up to 35 characters; if these conditions are not met, validation will fail with the message ""the data element 3042 is missing for the segment nad+dp, i.e. specification of the street of the delivery address"".",0.16506710845349495,0.9163380265235901,0,qwen7b
"the shacl shape :existenzauftragsnummerlieferantartikel applies to all instances of the class edifact-o:item, mandating a single string value (xsd:string) for the property edifact-o:ordernumbersupplier, with a validation failure message ""the order number of the supplier, rff+vn, is missing in the item part."" if this requirement is not met.","the shacl shape :existenzauftragsnummerlieferantartikel applies to all instances of the class edifact-o:item, requiring exactly one value (xsd:string) for the edifact-o:ordernumbersupplier property, with a validation error message ""the order number of the supplier, rff+vn, is missing in the item part."" if this constraint is not met.",0.474507021326148,0.9385277628898621,0,qwen7b
"the shacl shape :existenzdatumauftragsnummerlieferantartikel applies to all instances of the class edifact-o:item, requiring exactly one string value for the property edifact-o:dateordernumbersupplier, with a failure message ""the date of the supplier's order number, rff+vn, is missing in the item part."" if the property is missing.","the shacl shape :existenzdatumauftragsnummerlieferantartikel applies to all instances of the class edifact-o:item, requiring exactly one edifact-o:dateordernumbersupplier property with a string value, and failing validation with the message ""the date of the supplier's order number, rff+vn, is missing in the item part."" if this property is missing or appears more than once.",0.14328646712841825,0.9041672348976135,0,qwen7b
